单间 | 下关五塘白云雅居 3室1厅 主卧 精装修 可办居住证,白云雅居,1000,http://short.58.com/zd_p/492c54a8-9087-442b-abf0-9c94f08a3044/?target=oc-16-xgk_ephv_83127963920432q-feykn&end=end
整租 | 建宁路96号苏红市场（金海市场 1室1厅1卫,许府巷,1000,http://short.58.com/zd_p/d3a44f3c-9486-49cc-b126-f453aac4b295/?target=oc-16-xgk_hvimob_83102911310785q-feykn&end=end
单间 | 1号线胜太路地铁站精装公寓房独立厨房卫生间,湖滨公寓东区,1650,http://short.58.com/zd_p/bb686b5e-0170-4f5d-92d6-e1fc1b4e6485/?target=oc-16-xgk_ephv_83940342394748q-feykn&end=end
单间 | 个人房源！图片真实！江宁托乐嘉街区 朝南主卧 简装,托乐嘉花园,1000,http://short.58.com/zd_p/1765fc99-0d59-4d88-907a-d56a3aac6484/?target=oc-16-xgk_ephv_32265497393140q-feykn&end=end
单间 | 龙眠大道欣荣苑月付单间，长短皆可,科学园,500,http://short.58.com/zd_p/303db944-7111-4825-851a-954dd93dae96/?target=oc-16-xgk_ephv_83981426237398q-feykn&end=end
单间 | 万达广场集庆门大街650-1300,苏宁睿城,650,http://short.58.com/zd_p/2af270ef-11c1-47e4-a48a-cac92df98bf6/?target=oc-16-xgk_ephv_83789923947717q-feykn&end=end
"单间 | 房子月付可长短租,在龙眠大道地铁旁,便宜出租了",科学园,500,http://short.58.com/zd_p/04ef84d1-6794-461b-ad41-0f3311632323/?target=oc-16-xgk_ephv_83724069216866q-feykn&end=end
整租 | 美之国花园 2室1厅1卫,美之国花园,2400,http://short.58.com/zd_p/cbbf21cd-76fc-430f-b5e0-666f82301dbd/?target=oc-16-xgk_hvimob_83939605823898q-feykn&end=end
单间 | 房东莲花新城嘉园合租次卧朝南北精装修全新空调,莲花新城嘉园,700,http://short.58.com/zd_p/f1eec72f-283d-4679-8496-a680f45fe781/?target=oc-16-xgk_ephv_36236744501127q-feykn&end=end
整租 | 南京市江宁医院住宅区 3室2厅1卫,南京市江宁医院住宅区,3500,http://short.58.com/zd_p/7a513ff7-779c-41b4-a39a-bcff1d178bc9/?target=oc-16-xgk_hvimob_83973866715230q-feykn&end=end
单间 | 可月付。[可以短租] 【 主卧带独卫次卧带阳 台】真,威尼斯水城第一街区,650,http://short.58.com/zd_p/b397e769-1af5-4a42-9d2f-7d209759c5f4/?target=oc-16-xgk_ephv_84920366376103q-feykn&end=end
单间 | 建邺奥体莲花新城北苑 3室1厅 主卧 朝南北 精装修,莲花新城北苑,900,http://short.58.com/zd_p/a1d9cf15-aa5e-47a6-8449-5a76ed317fbd/?target=oc-16-xgk_ephv_83911441120445q-feykn&end=end
